numero-experimentation,type-experimentation,site-essai,systeme-essai,lot-cellules,passage,stress,temps-traitement,genes-analyses,proteine-correspondante,proteines-analysees,gene-correspondant,projet,nom-item,numero-item,type-echantillon,nom-r-et-d,nom-commercial,reference-produit,pourcentage-produit,genre,espece,fold-change,augmentation-diminution,notation
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,50 %",,,"0,75",-25 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,10 %",,,"0,902",-10 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,10 %",,,"5,018",404 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,10 %",,,"0,841",-16 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Vitamine B5,,substance secondaire,,,,1µg/ml,,,"0,687",-31 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Vitamine B5,,substance secondaire,,,,1µg/ml,,,"1,097",19 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Vitamine B5,,substance secondaire,,,,1µg/ml,,,"1,314",31 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Calcium,,témoin positif,,,,"1,5mM",,,"2,112",111 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Calcium,,témoin positif,,,,"1,5mM",,,"8,166",717 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Calcium,,témoin positif,,,,"1,5mM",,,"0,31",-69 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,1% + 1µg/ml,,,"4,95",395 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,1% + 1µg/ml,,,"26,875",2588 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,1% + 1µg/ml,,,"0,602","-0,4",
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,5% + 1µg/ml",,,"2,731",173 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,5% + 1µg/ml",,,"20,548",1955 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,5% + 1µg/ml",,,"0,666","-0,33",
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,1% + 1µg/ml",,,"1,314",31 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,1% + 1µg/ml",,,"4,104",310 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,1% + 1µg/ml",,,"0,727",-27 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,BGN,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,CD44,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL1A1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL3A1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL5A1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,VCAN,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,DCN,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,ELN,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,FBN1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,FN1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,HAS2,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,HSPG2,,,,P18-34,NT,,ref,,,,,,,1,Ref,
